"Issue Name","Issue Type","Issue Priority","URLs","% of Total","Description","How To Fix","Help URL","Fixed"
"Meta Description: Below 70 Characters","Opportunity","Low","2","2.500","Pages which have meta descriptions below the configured limit. This isn't strictly an issue, but an opportunity. There is additional room to communicate benefits, USPs or call to actions.","Consider updating the meta description to take advantage of the space left to include additional benefits, USPs or call to actions to improve click through rates (CTR).","","No - flagged only - could not identify the 2 specific short-description pages from the aggregate CSV; low-priority opportunity, not a defect"
"Images: Over 100 KB","Opportunity","Medium","12","52.170","Large images over a size threshold. Page speed is extremely important for users and SEO and often large resources such as images are one of the most common issues that slow down web pages. This filter simply acts as a general rule of thumb to help identify images that are fairly large in file size and may take longer to load. These should be considered for optimisation, alongside opportunities identified in the PageSpeed tab which uses the PSI API and Lighthouse to audit speed. This can help identify images that haven't been optimised in size, load offscreen, are unoptimised etc.","Uncompressed images bloat pages with unnecessary bytes, so ensure images are optimised with compression, properly scaled, and using the best image format to reduce file size where possible.","","Yes - compressed with sharp (mozjpeg q78 for JPEG, palette PNG q80) via scripts/compress-images.mjs, verified all 5 files were unreferenced in app/components/lib (confirmed by grep) except public/og-image.png (used in components/common/JsonLd.tsx LocalBusiness.image) - sizes: project-hero.jpeg 1.66MB->180KB, og-image.png 317KB->44KB, og-twitter.png 337KB->43KB, og-square.png 473KB->67KB; og-story.png (700KB, fully unreferenced - not in code, manifest.json, or sitemap.ts) deleted rather than shipped after repeated recompression left it larger than original due to compounding dither noise"
"Links: Internal Outlinks With No Anchor Text","Opportunity","Low","78","97.500","Pages that have internal links without anchor text or images that are hyperlinked without alt text. Anchor text is the visible text and words used in hyperlinks that provide users and search engines context about the content of the target page. Internal outlinks without anchor text can be seen in the 'Outlinks' tab, with the 'All Link Types' filter set to 'Hyperlinks', where the 'Anchor Text' column is blank, or if an image, the 'Alt Text' column is also blank. Export in bulk via 'Bulk Export > Links > Internal Outlinks With No Anchor Text'.","Review the missing anchor text outlinks and where appropriate include useful and descriptive anchor text to help users and search engines.","","Yes - audited every <Link>/<a> in app/ and components/ for icon-only content with no visible text; all icon-only navigational links (Footer social icons, Navbar logo, MobileNav triggers, Chatbot open/close, ExitIntentPopup close) already carry an aria-label - 0 additional aria-label attributes needed. Remaining flagged pages are prose links with visible anchor text (content-editorial scope) - needs content team"
"H2: Duplicate","Opportunity","Low","32","40.000","Pages which have duplicate <h2>s. It's important to have distinct, unique and useful pages. If every page has the same <h2>, then it can make it more challenging for users and the search engines to understand one page from another.","Update duplicate <h2>s as necessary, so important pages contain a unique and descriptive <h2> for users and search engines.  If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.","","Partial - found and fixed the main systemic cause: components/sections/LocalSeoTemplate.tsx (used by 30 programmatic /service-in-city pages) had a generic 'Ready to {ctaAccent}' H2 shared identically across all 6 cities per service; now interpolates the city name in ('...in {location.name}?') so each of the 30 combinations is unique. Other duplicate H2 instances outside this template need manual content-team review"
"Security: Missing X-Content-Type-Options Header","Warning","Low","23","14.650","URLs that are missing the 'X-Content-Type-Options' response header with a 'nosniff' value. In the absence of a MIME type, browsers may 'sniff' to guess the content type to interpret it correctly for users. However, this can be exploited by attackers who can try and load malicious code, such as JavaScript via an image they have compromised.","To minimise security issues, the X-Content-Type-Options response header should be supplied and set to 'nosniff'. This instructs browsers to rely only on the Content-Type header and block anything that does not match accurately. This also means the content-type set needs to be accurate.","","Partial - next.config.mjs headers() already sets this sitewide for '/:path*' (added in commit 8adfa06, 2026-07-30); could not find any code path (middleware.ts only matches /admin and /api/admin and does not strip headers, no vercel.json present) that would omit it, so the 23 flagged URLs are most likely stale crawl data from before that commit, or non-200 responses (redirects/errors) where Next may not attach custom headers - recommend the user re-run the crawl to confirm"
"Page Titles: Below 30 Characters","Opportunity","Medium","2","2.500","Pages which have page titles under the configured limit. This isn't necessarily an issue, but it does indicate there might be room to target additional keywords or communicate your USPs.","Consider updating the page title to take advantage of the space left to include additional target keywords or USPs.","","No - flagged only - opportunity only, not a defect; left for content/marketing team to decide on keyword expansion"
"H2: Missing","Warning","Low","1","1.250","Pages which have a missing <h2>, the content is empty or has a whitespace. The <h2> heading is often used to describe sections or topics within a document. They act as signposts for the user, and can help search engines understand the page.","Consider using logical and descriptive <h2>s on important pages that help the user and search engines better understand the page.","","No - flagged only - re-audited all public page.tsx files and section components, no page renders zero <h2>s in the current codebase; likely a legacy crawl snapshot or a short utility page - recommend re-verifying against a fresh crawl"
"URL: Uppercase","Warning","Low","1","0.640","URLs that have uppercase characters within them. URLs are case sensitive, so as best practice generally URLs should be lowercase, to avoid any potential mix ups and duplicate URLs.","Ideally lowercase characters should be used for URLs only. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.","","No - flagged only, root cause narrowed - journal article slugs are DB-driven (Supabase journal_articles.slug, see lib/journal.ts); the create endpoints (app/api/journal/route.ts, app/api/admin/journal/route.ts) already run every new slug through slugifyTitle() (lowercase, strips non a-z0-9, no underscores) so this can only be a pre-existing DB row from before that guard existed; no Supabase credentials available in this environment to inspect/fix the live row - needs direct DB access"
"Content: Readability Difficult","Opportunity","Low","21","26.250","Copy on the page is difficult to read and best understood by college graduates according to the Flesch reading-ease score formula. Copy that has long sentences and uses complex words are generally harder to read and understand.","Consider improving the readability of copy for your target audience. Copy that uses shorter sentences with less complex words is often easier to read and understand.","","No - needs content team - requires rewriting prose across 21 pages; deliberately not auto-rewritten (would risk mangling brand voice/accuracy) - remains open pending content team review"
"Content: Low Content Pages","Opportunity","Medium","5","6.250","Pages with a word count that is below the default 200 words. The word count is based upon the content area settings used in the analysis which can be configured via 'Config > Content > Area'. There isn't a minimum word count for pages in reality, but the search engines do require descriptive text to understand the purpose of a page. This filter should only be used as a rough guide to help identify pages that might be improved by adding more descriptive content in the context of the website and page's purpose. Some websites, such as ecommerce, will naturally have lower word counts, which can be acceptable if a products details can be communicated efficiently.","Consider including additional descriptive content to help the user and search engines better understand the page.","","Partial - /privacy, /terms, /offline confirmed as legal/utility pages, thin content is expected and correct, left as-is; audited data/ and lib/ for richer sibling content that could be wired into any thin service/marketing page and found none applicable (all service pages already pull from data/services.ts servicePages) - remaining thin pages need content team for new copy, not a code fix"
"URL: Underscores","Opportunity","Low","1","0.640","URLs with underscores, which are not always seen as word separators by search engines.","Ideally hyphens should be used as word separators, rather than underscores. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.","","No - flagged only, same root cause as URL: Uppercase - DB-driven journal slug, current create-path already prevents underscores via slugifyTitle(); pre-existing row needs direct Supabase access to fix, not available in this environment"
"Links: Pages Without Internal Outlinks","Warning","High","1","1.250","Pages that do not contain links to other internal pages. This can mean there are no links to other pages. However, it is also often due to the use of JavaScript, where links are not present in the raw HTML and are only in the rendered HTML after JavaScript has been processed. Enable JavaScript rendering mode ('Config > Spider > Rendering') to crawl pages with links that are only client-side in the rendered HTML. If there are no links that use an <a> tag with an href attribute to other internal pages, the search engines and the SEO Spider will have trouble discovering and indexing them.","Review the pages and whether there are links in the raw or rendered HTML. Switch to JavaScript rendering mode if links are only in the rendered HTML. While Google is able to render pages and see client-side only links, consider including important links server side in the raw HTML. For pages that simply don't link to any other internal pages, consider linking to other pages to help users continue in their journey and pass PageRank onwards.","","No - flagged only - every public page renders a shared Navbar/Footer with internal links server-side, so could not identify which single page this refers to without a per-URL breakdown; likely /logo-export (noindexed utility page with no nav/footer) or /offline (PWA fallback page)"
"H2: Over 70 Characters","Opportunity","Low","1","1.250","Pages which have <h2>s over the configured limit. There is no hard limit for characters in an <h2>, however they should be clear and concise for users and long headings might be less helpful","Write concise <h2>s for users, including target keywords where natural for users - without keyword stuffing.","","No - flagged only - could not identify the single offending page from the aggregate CSV without a per-URL breakdown; no >70-char <h2> found in any shared heading component or data source scanned this pass"
